l (nm),chl a70,chl a90,chl b70,chl b90
431.2,80509,90260,46988,50639
431.6,80711,90201,47554,50990
432,80772,89926,48132,51333
432.4,80763,89460,48663,51663
432.8,80555,88792,49119,51928
433.2,80203,87910,49569,52164
433.6,79672,86784,49988,52375
434,79017,85487,50377,52585
434.4,78237,83984,50757,52762
434.8,77215,82256,51077,52937
435.2,76077,80339,51391,53090
435.6,74772,78245,51662,53246
436,73309,75990,51932,53410
436.4,71711,73574,52196,53563
436.8,69954,71027,52455,53754
437.2,68084,68354,52698,53962
437.6,66068,65587,52940,54209
438,64027,62793,53196,54468
438.4,61840,59930,53438,54784
438.8,59561,57026,53712,55147
439.2,57284,54125,54011,55551
439.6,54939,51275,54318,56030
440,52566,48433,54669,56580
440.4,50189,45632,55060,57180
440.8,47805,42919,55524,57880
441.2,45399,40248,55943,58636
441.6,43041,37655,56470,59483
442,40729,35186,57065,60429
442.4,38423,32796,57690,61473
442.8,36222,30501,58403,62639
443.2,34102,28364,59190,63876
443.6,32009,26300,60056,65214
444,29996,24345,60999,66692
444.4,28069,22530,61992,68275
444.8,26218,20795,63079,69942
445.2,24434,19180,64269,71762
445.6,22773,17678,65583,73653
446,21193,16278,66941,75690
446.4,19656,14959,68416,77822
446.8,18242,13756,69962,80034
447.2,16914,12620,71601,82342
447.6,15644,11590,73328,84769
448,14483,10631,75181,87258
448.4,13364,9745,77070,89806
448.8,12333,8929,79066,92456
449.2,11405,8210,81149,95169
449.6,10505,7511,83273,97836
450,9685,6911,85485,100611
450.4,8929,6319,87742,103371
450.8,8207,5800,90027,106142
451.2,7549,5326,92406,108863
451.6,6991,4903,94773,111570
452,6428,4505,97156,114242
452.4,5911,4140,99544,116840
452.8,5425,3817,101933,119257
453.2,5014,3527,104318,121676
453.6,4626,3257,106653,123929
454,4287,3026,108948,126136
454.4,3969,2796,111171,128108
454.8,3642,2587,113355,129899
455.2,3408,2429,115437,131614
455.6,3154,2267,117417,133023
456,2891,2117,119285,134274
456.4,2699,1972,121022,135270
456.8,2528,1857,122672,136156
457.2,2372,1738,124147,136754
457.6,2201,1634,125479,137081
458,2049,1536,126651,137321
458.4,1934,1468,127617,137177
458.8,1822,1380,128445,136873
459.2,1707,1300,129083,136386
459.6,1587,1249,129534,135696
460,1521,1184,129841,134715
460.4,1437,1133,129932,133619
460.8,1347,1089,129857,132229
461.2,1268,1035,129580,130737
461.6,1192,972,129150,128988
462,1144,951,128519,127192
462.4,1088,892,127717,125195
462.8,1050,882,126741,123098
463.2,1009,832,125642,120857
463.6,949,815,124326,118539
464,918,777,122896,116107
464.4,896,755,121354,113577
464.8,840,726,119623,110941
465.2,833,702,117786,108277
465.6,788,681,115855,105544
466,761,652,113790,102806
466.4,745,634,111655,99996
466.8,702,626,109422,97176
467.2,702,604,107107,94318
467.6,672,585,104734,91497
468,654,573,102300,88645
468.4,630,564,99819,85809
468.8,619,540,97290,82991
469.2,575,534,94717,80208
469.6,597,537,92127,77395
470,566,504,89522,74637
