l (nm),chl a70,chl a90,chl b70,chl b90
716.4,3.10E+01,49,2.80E+01,31
716.8,3.90E+01,40,1.60E+01,53
717.2,1.30E+01,20,0.00E+00,35
717.6,2.10E+01,19,2.10E+01,43
718,2.70E+01,15,9.00E+00,22
718.4,7.00E+00,16,2.30E+01,28
718.8,1.20E+01,3,-5.00E+00,19
719.2,1.00E+00,13,1.30E+01,17
719.6,2.30E+01,-1,1.00E+00,17
720,0.00E+00,0.00E+00,0.00E+00,0.00E+00
720.4,-8.00E+00,2,-4.00E+00,11
720.8,2.70E+01,3,3.00E+01,35
721.2,1.60E+01,-8,-5.00E+00,16
721.6,2.80E+01,8,6.00E+00,11
722,2.20E+01,-16,-6.00E+00,19
722.4,1.60E+01,-1,2.00E+00,14
722.8,2.50E+01,-9,1.00E+01,12
723.2,1.20E+01,-8,3.80E+01,30
723.6,5.40E+01,-3,3.60E+01,31
724,1.90E+01,-7,5.00E+00,-8
724.4,8.00E+00,-8,8.00E+00,37
724.8,1.30E+01,-4,8.00E+00,20
725.2,1.00E+00,-25,7.00E+00,22
725.6,1.00E+00,-38,1.00E+00,-16
726,-7.00E+00,-33,0.00E+00,4
726.4,-7.00E+00,-33,-2.00E+00,5
726.8,2.60E+01,-24,1.20E+01,1
727.2,1.00E+00,-37,-1.00E+01,11
727.6,8.00E+00,-43,2.30E+01,15
728,4.00E+00,-40,-2.20E+01,10
728.4,-3.20E+01,-63,-2.00E+01,6
728.8,-3.40E+01,-54,-4.90E+01,1
729.2,-3.20E+01,-50,-1.00E+00,-2
729.6,-2.40E+01,-68,-7.00E+00,-24
730,-3.00E+00,-75,-1.80E+01,-27
730.4,-3.80E+01,-85,-3.70E+01,-46
730.8,-1.70E+01,-83,-3.00E+00,-17
731.2,-5.00E+00,-91,1.30E+01,-16
731.6,8,-97,26,-45
732,-1.70E+01,-116,-1.20E+01,-31
732.4,-1.30E+01,-119,2.00E+00,-54
732.8,-1.80E+01,-128,8.00E+00,-70
733.2,-5,-120,4,-66
733.6,-4.00E+00,-127,1.40E+01,-64
734,-18,-137,23,-67
734.4,-16,-142,0,-94
734.8,-10,-148,23,-80
735.2,-61,-168,6,-80
735.6,-14,-155,13,-59
736,-1.60E+01,-159,4.10E+01,-59
736.4,-52,-172,7,-55
736.8,-2,-156,54,-60
737.2,-57,-177,12,-83
737.6,-56,-172,-7,-67
738,-47,-197,-19,-84
738.4,-86,-208,-24,-113
738.8,-68,-192,-11,-70
739.2,-80,-200,-13,-73
739.6,-32,-188,-6,-77
740,-96,-196,-48,-91
740.4,-46,-183,-3,-82
740.8,-54,-183,-2,-71
741.2,-73,-210,-13,-82
741.6,-70,-201,-6,-70
742,-83,-207,-6,-71
742.4,-72,-213,-19,-96
742.8,-70,-200,-9,-71
743.2,-89,-221,-17,-115
743.6,-67,-212,-8,-83
744,-77,-225,-1,-92
744.4,-97,-217,-21,-115
744.8,-56,-224,-24,-102
745.2,-45,-234,-7,-80
745.6,-73,-221,-17,-93
746,-84,-255,21,-110
746.4,-74,-234,-5,-89
746.8,-43,-233,26,-120
747.2,-100,-245,-10,-110
747.6,-104,-281,-10,-137
748,-70,-271,16,-152
748.4,-63,-269,-15,-159
748.8,-80,-289,-2,-141
749.2,-95,-283,-13,-157
749.6,-92,-292,-2,-150
750,82,-198,69,-172
